"eternal","永遠の
不変の(=perpetual)",,,,,,,
"sole"," 唯一の",,,,,,,
"gloomy","暗い(=dark):
憂鬱な；悲観的な",,,,,,,
"notable","注目すべき",,,,,,,
"affluent","裕福な
(=rich，wealthy)",,,,,,,
"naked","裸の",,,,,,,
"vocal","発生に必要な
声の",,,,,,,
"feminine","女性の",,,,,,,
"vacant","空いている
使用されていない
(⇔occupied)",,,,,,,
"exotic","外来の
異国風の",,,,,,,
"cognitive","認知の",,,,,,,
"humid","蒸し暑い
多湿の",,,,,,,
"outstanding","傑出した
目立った",,,,,,,
"addicted","(be addicted to A)
Aの中毒である,
Aに熱中した",,,,,,,
"vulnerable","(be vulnerable to A)
Aを受けやすい
傷つきやすい",,,,,,,
"spontaneous","自然に起こる
自発的な",,,,,,,
"greedy","(be greedy for A)
Aにどん欲である",,,,,,,
"thirsty","のどが渇いた
渇望している",,,,,,,
"per capita","一人当たりの",,,,,,,
"inherent","(inherent in A)
Aに元から伴っている",,,,,,,
"promising","前途有望な",,,,,,,
"physiological","生理的な",,,,,,,
"clinical","臨床の",,,,,,,
"chronic","慢性の
(⇔acute)",,,,,,,
"geological","地質学的な",,,,,,,
"countless","無数の",,,,,,,
"simultaneously","同時に",,,,,,,
"utterly","まったく
完全に(=totally)",,,,,,,
"upright","まっすぐに
直立して",,,,,,,
"overnight","夜通し，一晩中
［形］一泊の",,,,,,,
"thereby","そうすることで
(by that means)",,,,,,,
"via","経由で
(=by way of)",,,,,,,
"namely","すなわち
(=that is to say)",,,,,,,
"frankly","率直に
〈文頭で〉率直に言って",,,,,,,
"hence","だから",,,,,,,
"proclaim","〜と宣言する
(=declare);
〜をはっきり示す",,,,,,,
"smash","〜を粉々に砕く
衝突する,
〜を衝突させる",,,,,,,
"mourn","〜を悲しむ
〈人〉の喪に服する",,,,,,,
"summon","〜を呼ぶ
〈人〉を呼び出す",,,,,,,
"shatter","〜を粉々にする
粉々になる",,,,,,,
"linger","残る
〈感情などが〉
なかなか消えない",,,,,,,
"lament","〜を嘆く
［名］悲しみ,
嘆きの言葉",,,,,,,
"endow","(be endowed with A)
Aに恵まれる
(=be gifted with A)",,,,,,,
"rejoice","喜ぶ",,,,,,,
"whip","〜をむち打つ
［名］むち",,,,,,,
"slap","〜をピシャリと打つ",,,,,,,
"contend","〜と主張する
(=argue);
戦う(+with)",,,,,,,
"swear","〜と誓う
〜と断言する",,,,,,,
"discern","〜を識別する
(=distinguish,
perceive)",,,,,,,
"degrade","〜を悪化させる",,,,,,,
