"equal［pay］for equal work","同じ仕事に対する
同じ［給料］",,,,,,,
"Honesty doesn't always［pay］.","正直は[割に合う］
とは限らない",,,,,,,
"a［good］many books","[かなり]多くの本",,,,,,,
"work for the public［good］","公共の[利益]の
ために働く",,,,,,,
"teach students［discipline］","学生に［規律］
を教える",,,,,,,
"scientists of many［discipline］s","多くの[分野]の
科学者たち",,,,,,,
"an electricity［bill］","電気代の［請求書］",,,,,,,
"a ten dollar［bill］","10ドル[紙幣]",,,,,,,
"pass a［bill］","[法案］を可決する",,,,,,,
"breathe a sigh of［relief］","［安心］して
ため息をつく",,,,,,,
"［relief］from poverty","貧困に対する[救済]",,,,,,,
"［relief］from stress","ストレスの[除去]",,,,,,,
"［board］a plane","飛行機［に乗り込む］",,,,,,,
"the school［board］","教育［委員会］",,,,,,,
"She got［mad］at me.","彼女は私に
[腹を立てた］",,,,,,,
"［yield］food and wood","食料や木材
［を産出する］
(=produce)",,,,,,,
"［yield］to pressure","圧力に[屈する]",,,,,,,
"Radio［yielded］to television.","ラジオはテレビに
[取って代わられた］",,,,,,,
"a［rear］seat","［後部］座席",,,,,,,
"［rear］three children","3人の子供［を育てる］
(=raise，bring up)",,,,,,,
"eat at a［fancy］restaurant","[高級]レストランで
食事をする",,,,,,,
"［fancy］myself a novelist","自分が小説家だ
［と想像する］",,,,,,,
"feel no［shame］","[恥]と思わない",,,,,,,
"What a［shame］!","なんと［残念なこと]か",,,,,,,
"［waste］money","お金［を浪費する］",,,,,,,
"industrial［waste］","産業［廃棄物］",,,,,,,
"［drive］the dog away","犬［を追い］払う",,,,,,,
"be［driven］by desire","欲望に［駆りたて］
られる",,,,,,,
"my strong［drive］to work","働きたいという
強い［欲求］",,,,,,,
"English with an Italian［accent］","イタリア[なまり]の英語",,,,,,,
"apples,peaches,and the［like］","リンゴや桃[など]",,,,,,,
"［coin］a new word","新語［を作り出す］
(=invent)",,,,,,,
"He will［make］a good teacher.","彼はよい教師［になる］
だろう",,,,,,,
"She cast a［spell］on me.","彼女は私に［魔法］
をかけた",,,,,,,
"a long dry［spell］","長い日照り［続き］",,,,,,,
"the［late］Mr.Ford","［故］フォード氏",,,,,,,
"her body and［soul］","彼女の肉体と［魂］",,,,,,,
"There was not a［soul］there.","そこには［一人］
もいなかった",,,,,,,
"［arms］control","［軍備］制限",,,,,,,
"virtue and［vice］","美徳と［悪徳］",,,,,,,
"［Vice］President","［副］大統領",,,,,,,
"a five-［story］building","5[階]建ての建物",,,,,,,
"She was［moved］by my story.","彼女は私の話に
[感動した］",,,,,,,
"an［air］of sadness","悲しそうな［様子］
(=look)",,,,,,,
"go hunting for big［game］","大きな［獲物］を
狩りに行く",,,,,,,
"She accepted her［lot］.","彼女は[運命]を
受け入れた
(=fortune)",,,,,,,
"teach the dolphin new［trick］s","イルカに新しい
［芸］を教える",,,,,,,
"a［trick］for memorizing words","単語を覚える［コツ］",,,,,,,
"play a［trick］on the teacher","先生に［いたずら］
する",,,,,,,
"［trick］him into buying the pot","彼［をだまして］
そのつぼを買わせる",,,,,,,
"a clever［trick］","巧妙な[たくらみ］",,,,,,,
"New companies will［spring］up there.","そこに新しい会社が
［出現する］だろう",,,,,,,
"［pose］a problem","問題［を引き起こす］
(=cause)",,,,,,,
"［pose］a question","疑問［を提起する］",,,,,,,
"take［note］s  on what you hear","聞くことを［メモ］する",,,,,,,
"He［note］d  that America is a big country.","アメリカは大国だと
彼は［書いた］",,,,,,,
"［Note］that the book is non-fiction.","その本は実話だと
いうことに
［注意しなさい］",,,,,,,
"He is ［note］d  for his intelligence.","彼は知的なことで
［有名だ］",,,,,,,
"a ten-pound［note］","10ポンド［紙幣］",,,,,,,
