"convention","慣習，しきたり
(大規模な)会議，大会",,,,,,,
"mine","鉱山",,,,,,,
"craft","工芸，技術
船，乗り物",,,,,,,
"core","中心，(問題の)核心",,,,,,,
"stroke","脳卒中，発作
打撃，一撃
［動］〜をなでる",,,,,,,
"frontier","国境
",,,,,,,
"peer","同僚
［動］じっと見る",,,,,,,
"vessel ","船
血管
器",,,,,,,
"disability","〈身体・精神の〉障害
(=handicap)",,,,,,,
"gravity","重力",,,,,,,
"ethic","倫理",,,,,,,
"terminal ","(バスなどの)終点",,,,,,,
"tide","潮流，潮の干満
",,,,,,,
"abuse","虐待
",,,,,,,
"incident","出来事
事件",,,,,,,
"laboratory ","研究所",,,,,,,
"conference ","会議
(conference on A)
Aに関する",,,,,,,
"continent","大陸",,,,,,,
"insurance ","保険",,,,,,,
"site","用地
場所，位置",,,,,,,
"poverty","貧乏",,,,,,,
"shortage ","不足",,,,,,,
"affair ","情勢",,,,,,,
"exception ","(exception to A)
Aの例外",,,,,,,
"wage","賃金",,,,,,,
"wisdom","知恵",,,,,,,
"tax","(tax on A)
Aにかかる税金",,,,,,,
"leisure","暇",,,,,,,
"barrier","壁 
(+to)障害",,,,,,,
"category","範ちゅう，カテゴリー
分類(=group)",,,,,,,
"unit","単位",,,,,,,
"reputation ","評判
名声",,,,,,,
"virtue","美徳",,,,,,,
"courage","(courage to V)
Vする勇気",,,,,,,
"sympathy","(sympathy for A)
Aへの同情，共感",,,,,,,
"union","組合
同盟；連邦",,,,,,,
"document ","書類
文書",,,,,,,
"volume","冊
本；量，容積",,,,,,,
"ceremony","儀式",,,,,,,
"era","時代
(=age)",,,,,,,
"dispute","紛争，論争
［動］〜を議論する",,,,,,,
"campaign ","(campagion to V)
Vする運動",,,,,,,
"mankind","人類",,,,,,,
"murder","殺人，殺りく
［動］〈人〉を殺す",,,,,,,
"landscape ","風景",,,,,,,
"destination","目的地",,,,,,,
"tale","話
物語(=story)",,,,,,,
"reform","改革
［動］〜を改善する",,,,,,,
"muscle","筋肉",,,,,,,
"prospect ","見通し
見込み",,,,,,,
