"lane","車線
小道",,,,,,,
"bulk","(the bulk of A)
Aの大部分",,,,,,,
"fluid","液
流動体",,,,,,,
"communist","共産主義者
［形］共産主義の",,,,,,,
"bride","花嫁",,,,,,,
"intervention","(intervention in A)
Aへの介入",,,,,,,
"margin","差
票差；余白;
ふち(=edge)",,,,,,,
"biography","伝記",,,,,,,
"sculpture","彫刻",,,,,,,
"volcano","火山",,,,,,,
"rebel","反逆者
［動］反逆する,
反抗する",,,,,,,
"metaphor","比喩
隠喩",,,,,,,
"legislation","法律
立法，法律制定",,,,,,,
"lightning","雷
稲妻",,,,,,,
"pesticide","殺虫剤
除草剤",,,,,,,
"column","コラム
円柱",,,,,,,
"rumor","うわさ",,,,,,,
"dust","ほこり",,,,,,,
"dialogue","対話",,,,,,,
"kindergarten","幼稚園",,,,,,,
"tourism","観光",,,,,,,
"obesity","肥満",,,,,,,
"patent","特許
［動］〜の特許を取る",,,,,,,
"chapter ","章",,,,,,,
"palace","宮殿
大邸宅",,,,,,,
"laundry","洗濯",,,,,,,
"ward","病棟
(行政の)区",,,,,,,
"epidemic","流行
〈悪い物の〉流行;
伝染病",,,,,,,
"equation","方程式",,,,,,,
"archaeologist","考古学者",,,,,,,
"corruption","腐敗
墜落",,,,,,,
"apt","(be apt to V)
Vしがちである,
Vする傾向がある
(=likely，liable)",,,,,,,
"humble","謙虚な
(=modest⇔arrogant)
粗末な",,,,,,,
"entitled","(be entitled to A)
Aを得る[する]権利がある
〜と題された",,,,,,,
"valid ","妥当な，正当な
(切符・文章などが)
有効な",,,,,,,
"faint","かすかな
［動］気絶する",,,,,,,
"stiff","堅い
堅苦しい",,,,,,,
"obscure","わかりにくい",,,,,,,
"fierce","(競争・反対・嵐などか)
激しい",,,,,,,
"acute","(問題が)深刻な
(=serious)
(感覚・痛みが)
鋭い(=sharp⇔dull)",,,,,,,
"idle","(仕事がなくて)
何もしていない
(⇔busy)",,,,,,,
"crude","粗末な(=rough)
粗野な(=rude)",,,,,,,
"jealous","しっと深い;
うらやましい",,,,,,,
"pregnant","妊娠している",,,,,,,
"liable","(be liable to V)
Vしがちである,
可能性が高い",,,,,,,
"intent","没頭した",,,,,,,
"decent","(世間から見て)
まともな",,,,,,,
"marvelous","驚くべき",,,,,,,
"misleading","誤解を招く",,,,,,,
"tame","飼いならされた,
なれた(⇔wild)",,,,,,,
