"associate","(associate A with B)
AをBに関連づける,
AからBを連想する",,,,,,,
"rush","急いで行く",,,,,,,
"stress","〜を強調する",,,,,,,
"attract","〈人・注意〉
を引きつける",,,,,,,
"rely ","(rely on［upon］A)
Aに頼る",,,,,,,
"respond","(respond to A)
Aに返答する",,,,,,,
"threaten","〜を脅迫する",,,,,,,
"adopt","〈理論・技術など〉
を採用する",,,,,,,
"shake","〜を振る",,,,,,,
"hurt","〜を傷つける",,,,,,,
"operate","〈機械などが〉作動する
〈機械など〉を操作する
手術する(+on)",,,,,,,
"extend","〜を広げる，延長する",,,,,,,
"blame","〜を非難する,
〜のせいにする",,,,,,,
"consist","(consist of A)
Aで構成されている",,,,,,,
"persuade","〜を説得する",,,,,,,
"admire","〜に感心する",,,,,,,
"disappoint","〜を失望させる",,,,,,,
"expand","（〜を）拡大する",,,,,,,
"preserve","〜を保護する,
〜を保つ",,,,,,,
"struggle","苦闘する，もがく",,,,,,,
"arrange","〈会合など〉の
手はずを整える
〜を配列する
",,,,,,,
"disturb","〈人・仕事など〉
をさまたげる
(=interrupt)",,,,,,,
"employ","〜を雇う
〈方法・言葉など〉
を用いる
(=use)",,,,,,,
"engage","(engage in A)
A（仕事・活動など）
に従事する,
Aを行う",,,,,,,
"abandon","〜を捨てる",,,,,,,
"display","〜を展示する;
〜を表す",,,,,,,
"encounter","〜に偶然出会う",,,,,,,
"exhaust","〈人〉を疲れはてさせる",,,,,,,
"bother","〈人〉に面倒をかける,
困らせる
（〜を）気にする",,,,,,,
"concentrate","集中する",,,,,,,
"adapt","〜を適応させる,
適応する",,,,,,,
"puzzle","〜を当惑させる
(=confuse)",,,,,,,
"appeal","(appeal to A)
A〈理性・感情など〉
に訴える
〈人〉を引きつける
［名］魅力",,,,,,,
"combine","〜を結合させる",,,,,,,
"delay","〜を遅らせる",,,,,,,
"repair","〜を修理する",,,,,,,
"fascinate","〈人〉を夢中にさせる",,,,,,,
"devote","〜をささげる",,,,,,,
"import","〜を輸入する",,,,,,,
"remark","（〜と）述べる",,,,,,,
"reserve","〜を予約する,
〜を取っておく
(=set aside)",,,,,,,
"amaze","〜を驚嘆させる",,,,,,,
"frighten","〈人〉をおびえさせる",,,,,,,
"release","〜を解放する
〜を発表する",,,,,,,
"rent","〈家・車など〉
を賃借りする",,,,,,,
"recover","(recover from A)
A（病気など）から
回復する",,,,,,,
"suspect","〜ではないかと思う
(=suppose)
〈人・もの〉を疑う",,,,,,,
"deliver","〜を配達する，渡す
〈講義など〉をする",,,,,,,
"identify","〜の正体をつきとめる,
(identify with A)
Aと共感する",,,,,,,
"locate","（be located in
［on,at］A)
（Aに）位置する",,,,,,,
