"glow","ボーッと光る
ほてる
［名］輝き",,,,,,,
"migrate","移住する",,,,,,,
"exclaim","叫ぶ",,,,,,,
"exert","〜を及ぼす
〈力など〉を行使する",,,,,,,
"fetch","〜を取ってくる
(=go and bring)",,,,,,,
"accelerate","〜を促進する",,,,,,,
"dwell","住む
(=live)",,,,,,,
"integrate","(integrate A into B)
AをBに融けこませる
〜を統合する,
とりこむ",,,,,,,
"weep","泣く",,,,,,,
"reassure","〜を安心させる
〜を元気づける",,,,,,,
"condemn","非難する",,,,,,,
"restrain","〜を抑制する
(=control，prevent)",,,,,,,
"resent","〜に腹をたてる
〜に憤慨する,
〜を不快に思う",,,,,,,
"yell","大声で叫ぶ
［名］叫び声,
金切り声(=shout)",,,,,,,
"assess","〜を評価する
〜を推定する
(=evaluate,
estimate)",,,,,,,
"carve","〜を彫る",,,,,,,
"halt","〜を止める
［名］停止，休止",,,,,,,
"inspect","(inspect A for B)
BについてAを検査する
(=examine);
〜を視察する",,,,,,,
"tackle","〜に取り組む",,,,,,,
"omit","〜を省く
〜を省略する",,,,,,,
"frown","(frown on A)
Aにまゆをひそめる
［名］しかめっ面",,,,,,,
"resume","〜を再開する
〜を再び始める",,,,,,,
"mold
","〜を作る
〈人格など〉を形成する
［名］型",,,,,,,
"accommodate","〜を収容する",,,,,,,
"erase","〜を消す
(=wipe off，rub out)",,,,,,,
"infer","(infer A from B)
BからAを推量する",,,,,,,
"revive","〜を生き返らせる
生き返る",,,,,,,
"humiliate","〜に恥をかかせる
〜に屈辱を与える",,,,,,,
"rotate","回る，回転する
〜を回転させる",,,,,,,
"disrupt","〜をかき乱す
〜を中断させる
(=disturb)",,,,,,,
"navigate","進路を決める
〜を誘導する,
かじをとる",,,,,,,
"ache","痛む",,,,,,,
"discard","〜を捨てる
〜を廃棄する,
処分する",,,,,,,
"incorporate","(incorporate A
into B)
BにAを取り入れる",,,,,,,
"overtake","〜を追い越す",,,,,,,
"supplement","〜を補う
［名］補充，付録，追加",,,,,,,
"manipulate","〜を操作する
〜を巧みに扱う",,,,,,,
"nourish","〜を養う
〜に栄養を与える",,,,,,,
"squeeze","〜をしぼる,
〜をしぼり取る
",,,,,,,
"depict","(depict A as B)
BとしてAを描く
〜を描写する
(=portray)",,,,,,,
"distract","(distract A from B)
BからAをそらす
〜の気を散らす
(⇔attract)",,,,,,,
"disclose","〜を暴露する
〜を公表する
(=reveal)",,,,,,,
"enroll","(enroll in A)
Aに入学する
〜を入学［入会］
させる(+in，at)",,,,,,,
"nurture","〜を育てる
〜を養育する
［名］養育，教育",,,,,,,
"speculate","推測する
憶測する",,,,,,,
"prolong","〜を延ばす
〜を延長する",,,,,,,
"execute","〜を処刑する
〈計画など〉を
遂行する",,,,,,,
"uncover","〜を明らかにする
〜を発掘する",,,,,,,
"tremble","ふるえる",,,,,,,
"seize","〜をつかむ
〜をとらえる",,,,,,,
