"erect","〜を築く
［形］直立した",,,,,,,
"testify","証言する",,,,,,,
"spur","〜を駆りたてる
〜に拍車をかける
［名］刺激，拍車",,,,,,,
"roam","〜を歩き回る
ぶらつく，放浪する",,,,,,,
"chew","かむ",,,,,,,
"lure","誘い込む
〜を魅惑する
［名］魅力，魅惑",,,,,,,
"defy","〜に逆らう",,,,,,,
"stroll","ぶらつく
(=wonder)
［名］散歩",,,,,,,
"dispense","(dispense with A)
Aなしですます",,,,,,,
"reconcile","(reconcile A with B)
AをBと調和させる",,,,,,,
"blur","〜をぼやかす
ぼやける
［名］ぼやけたもの",,,,,,,
"soothe","〜をなだめる
〈苦痛〉を和らげる",,,,,,,
"impair","〜を低下させる
〜を害する(=harm)",,,,,,,
"comply"," (comply with A)
Aに従う",,,,,,,
"pierce","〜に穴をあける
〜を刺す",,,,,,,
"stumble","つまづく",,,,,,,
"hinder","〜をさまたげる
(=prevent)",,,,,,,
"mock","〜をあざける
(=make fun of)
［形］まねごとの,
模擬の",,,,,,,
"embody","〜を具現する
〜を表現する
(=express)",,,,,,,
"insert","〜を差し込む
〈文など〉を挿入する",,,,,,,
"stalk","〜に忍び寄る
［名］(植物の)茎",,,,,,,
"clarify","〜を明らかにする",,,,,,,
"applaud","拍手する
〜をほめたたえる",,,,,,,
"inflict","(inflict A on B)
AをBに与える",,,,,,,
"merge","(merge with A)
Aと合併する",,,,,,,
"reckon","〜と考える",,,,,,,
"undo","〜を元通りにする",,,,,,,
"poke","〜を突く
(〜を)つつく",,,,,,,
"tumble","落ちる
〈価格などが〉暴落する
(=fall)",,,,,,,
"adhere","(adhere to A)
Aを固く守る",,,,,,,
"compile","〜をまとめる
〈データ・辞書など〉
を編集する",,,,,,,
"wither","しぼむ
色あせる;
〜をしおれさせる",,,,,,,
"stun","〜をびっくりさせる
〜を気絶させる",,,,,,,
"choke","のどがつまる
〜の首をしめる",,,,,,,
"deteriorate","悪化する
〜を悪化させる
(=worsen)",,,,,,,
"evade"," 〜をのがれる
(=avoid)",,,,,,,
"murmur","つぶやく
［名］つぶやき;
ざわめき",,,,,,,
"console","〜をなぐさめる
〜をはげます",,,,,,,
"duplicate","〜を複製する
(=copy)
［名］［形］複製(の)",,,,,,,
"divert","(divert A from B)
AをBからそらす",,,,,,,
"slaughter","〜を虐殺する",,,,,,,
"reap","〜を手に入れる
〜を収穫する",,,,,,,
"affirm","〜と断言する
〜と主張する
(=assert)",,,,,,,
"knit","(〜を)編む;
しっかりと組み合わせる
",,,,,,,
"ponder","〜を熟考する",,,,,,,
"embark","(embark on A)
Aに乗り出す
〈事業などを〉始める",,,,,,,
"vow","〜を誓う
［名］誓い，誓約",,,,,,,
"foresee","〜を予知する
(=predict)",,,,,,,
"adore","〜を崇拝する
〜が大好きだ
(=love)",,,,,,,
"yearn","(yearn for A)
Aを切望する",,,,,,,
