"frustrate","〈人〉を欲求不満
にさせる",,,,,,,
"deprive","(deprive A of B)
AからB
(機会・自由・睡眠など)
を奪う",,,,,,,
"astonish","〜を驚嘆させる",,,,,,,
"register","〜を登録する",,,,,,,
"correspond"," 一致する",,,,,,,
"cast","〜を投げる，
〈疑い・目など〉
を向ける",,,,,,,
"attribute","(attribute A to B)
AをBのせいにする",,,,,,,
"freeze","凍りつく",,,,,,,
"starve","飢える",,,,,,,
"resolve","〈問題など〉を解決する
(=solve)",,,,,,,
"embrace","〈思想など〉
を受け入れる
〜を含む(=include)",,,,,,,
"exhibit","〜を展示する",,,,,,,
"convert","〜を転換する
(=change)",,,,,,,
"scare","〜をおびえさせる",,,,,,,
"constitute","〜を構成する，占める
(=make up,
account for)
〜である(=be)",,,,,,,
"appoint","〜を任命する",,,,,,,
"sew","〜を縫う",,,,,,,
"assign"," 〈仕事・物〉
を割り当てる",,,,,,,
"nod","うなずく",,,,,,,
"elect","〜を選挙で選ぶ",,,,,,,
"acknowledge","〈事実，重要性など〉
を認める
(=admit)",,,,,,,
"rob","(rob A of B)
AからBを奪う",,,,,,,
"lean","寄りかかる,
もたれる",,,,,,,
"undertake","（仕事など）
を引き受ける",,,,,,,
"drown","おぼれ死ぬ",,,,,,,
"split","〜を割る，分裂する",,,,,,,
"resort","(resort to A)
A(手段)に訴える",,,,,,,
"descend","下る，降りる",,,,,,,
"irritate","〜をいらだたせる",,,,,,,
"pronounce","〈単語など〉
を発音する",,,,,,,
"equip","〜を装備させる",,,,,,,
"cheat","いかさまをする",,,,,,,
"decorate","〜を装飾する",,,,,,,
"pardon","〜を許す",,,,,,,
"heal","〈けがなど〉を治す
；治る",,,,,,,
"forgive","〈過ち・人〉
を許す",,,,,,,
"envy","〜をうらやむ",,,,,,,
"chase","〜を追いかける",,,,,,,
"prompt","〜を促す",,,,,,,
"withdraw","〜を引っ込める
引きこもる，退く
〈預金など〉を引き出す",,,,,,,
"detect","〜を探知する,
〈誤り・病気など〉
を発見する(=discover)",,,,,,,
"interfere","(interfere with A)
Aをじゃまする",,,,,,,
"launch","〈ロケットなど〉
を打ち上げる
〈事業など〉を始める",,,,,,,
"endanger","〜を危険にさらす",,,,,,,
"foster","〜を促進する,
育成する(=promote，encourage)",,,,,,,
"diminish","減少する，衰える
；〜を減らす
(=decrease,decline)",,,,,,,
"spill","〜をこぼす",,,,,,,
"infect","〈人〉に感染する",,,,,,,
"stem","(stem from A)
Aから生じる,
Aに由来する",,,,,,,
"tap","〜を軽くたたく",,,,,,,
