at first,最初は
as is often the case (with~),（～には）よくあることだが
in search of ~,～を捜して
make use of ~,～を利用する
go through ~,～を経験する
lest[for fear] ~ should ...,～が...しないように
at hand,近くに
at a loss,途方に暮れて
learn ~ by heart,～を暗記する
make the best of ~,～を最大限に利用する
by nature,生まれつき
blame ~ for ...,...のことで～を非難する
without fail,必ず
stand for ~,～を表わす
in case of ~,～の場合には
keep up with ~,～に遅れずについていく
know better than to ~,～するほどばかではない
pick up,（人、荷物などを）拾う
if any,たとえあるとしても/もしあれば
if anything,どちらかといえば
in honor of ~,～に敬意を表して
in the long run,結局は
cannot afford to ~,～する余裕がない
figure out ~,～を理解する
be obliged[forced] to ~,～せざるを得ない
by way of ~,～経由で ～として
hold on ~,（電話を）切らないでおく
get along (with~),（～と）仲よくやっていく
devote oneself to ~,～に専念する
cling to ~,～に執着する
accuse A of B,BでAを非難する
never[cannot] fail to ~,必ず～する
get[keep] in touch with ~,～と接触をとる[保つ]
leave no room for ~,～の余地がない
show up,現われる 目立つ
no more than ~,わずか～だけ
not more than ~,（多くとも）せいぜい
no more ~ than ...,...でないのと同様に～でない
as such,そういうものとして
may well ~,～するのももっともだ
may as well ~(as...),（...するくらいなら）～したほうがよい
If it were not for ~,もし～がなければ
but for ~,～がなければ
wear out,（使い古して）だめになる
make sense,意味をなす
do ~ good,～に益をもたらす
set out for ~,～へ向けて出発する
in favor of ~,～に賛成して
in terms of ~,～の（観）点では
be in charge of ~,～を管理している
for the sake of ~,～のために
come true,実現する
beside oneself with ~,～にわれを忘れて
to make matters worse,さらに悪いことには
see to ~[see to it that ...],～に気をつける
make it a rule to ~,～することにしている
take over ~,～を引き継ぐ
under ~ circumstances,～の状況のもとでは
make out ~,～を理解する
be acquainted with ~,～を知っている
leave ~ alone,～をそのままにしておく
take to ~,～が好きになる
turn down,拒否する
go so far as to ~,～しさえする（～までする）
help oneself to ~,自分で（自由に）とって食べる
anything but ~,けっして～でない
count for nothing,なんにもならない
none the less,それにもかかわらず
wait on ~,～に仕える
burst into laughter,どっと（突然）笑い出す
on earth,一体全体
