"たぐひ","種類・例",,,,,,,
"れい","いつも",,,,,,,
"はばかる","遠慮する・気にする",,,,,,,
"まどふ","慌てる・心乱れる
困惑する",,,,,,,
"ゐる","座る・座っている",,,,,,,
"〜やる","遠く〜する",,,,,,,
"〜はつ","〜し終わる
すっかり〜する",,,,,,,
"うつつ","現実",,,,,,,
"われか","茫然とする",,,,,,,
"なやむ
わづらふ","①悩む
②病気になる",,,,,,,
"しるし","顕著だ
はっきり現れている",,,,,,,
"むね","中心",,,,,,,
"はた","また",,,,,,,
"こころやる","気を晴らす",,,,,,,
"こころゆく","満足する・気が済む",,,,,,,
"さがなし","意地が悪い",,,,,,,
"さらなり
ろんなし","言うまでもなく・もちろん",,,,,,,
"〜さす","〜するのを途中で辞める",,,,,,,
"はしたなし","①中途半端だ
②体裁が悪い
みっともない",,,,,,,
"〜さる","〜になる・〜が来る",,,,,,,
"やをら","そっと・静かに",,,,,,,
"ようい","①用心
②配慮・心遣い",,,,,,,
"おくる","後に残る・取り残される",,,,,,,
"軽く","離れる",,,,,,,
"なのめなり","①いい加減だ・平凡だ
②格別だ・素晴らしい",,,,,,,
"あだなり","①むだだ
②はかない
③浮気だ",,,,,,,
"さはる","差し支える・じゃまになる",,,,,,,
"せちなり","切実だ・一途だ",,,,,,,
"あきつ","決める",,,,,,,
"つれなし","①無関係だ
②冷淡だ",,,,,,,
"えん(なり)","①優雅だ・優美だ
②色っぽい",,,,,,,
"かたみに","互いに・代わる代わる",,,,,,,
"やつす
やつる","①地味な姿に変える
②出家する",,,,,,,
"なにおふ
なにしおふ","その名を持つ",,,,,,,
"いつしか","早く",,,,,,,
"とが","罪・責任",,,,,,,
"ほだし","束縛・しがらみ",,,,,,,
"かこつ","不平を言う
愚痴を言う・嘆く",,,,,,,
"なめし","無礼だ・失礼だ",,,,,,,
"すまふ","対抗する",,,,,,,
"まねぶ","①まねをする
②学ぶ
③伝える",,,,,,,
"おぼえ","①評判
②寵愛",,,,,,,
"こはし","強い",,,,,,,
"うべ・むべ","なるほど",,,,,,,
"をさをさし","大人びている
しっかりしている",,,,,,,
"まさなし","よくない",,,,,,,
"けやけし","目立つ・際立つ
はっきりしている",,,,,,,
"いぎたなし","寝坊である・眠り込む",,,,,,,
"よし","①理由
②由緒
③方法
④趣・風情
⑤趣旨・〜ということ",,,,,,,
"かまへて","①注意して・こころして
②必ず
③決して〜ない",,,,,,,
"はかなし","むなしい・頼りない",,,,,,,
