"supply","〜を供給する","supply the city with water\r\nその都市に水を供給する"
"gain","〜を得る","gain useful knowledge\r\n有益な知識を得る"
"destroy","〜を破壊する","destroy the Berlin Wall\r\nベルリンの壁を破壊する"
"apply","当てはまる\r\n申し込む","apply the rule to every case\r\n全ての場合に規則をあてはめる"
"seek","〜を求める","seek help from the police\r\n警察に助けを求める"
"search","（search for A)\r\nAを捜す","search for the stolen car\r\n盗難車を捜す"
"claim","〜と主張する\r\n〜を（当然の権利\r\nとして）要求する","He claims that he saw a UFO.\r\n彼はUFOを見たと主張する"
"draw","〜を引っぱる\r\n〈図・絵〉を\r\n（線で）描く","draw a map\r\n地図を描く"
"introduce","〜を紹介する","introduce you to my friend\r\n友人に君を紹介する"
"refuse","〈申し出など〉\r\nを断る","refuse to kiss him\r\n彼にキスするのを拒む"
"mention","〜について述べる","Never mention it again.\r\n二度とそのことを口にするな"
"judge","〜を判断する","judge a person by his looks\r\n人を外見で判断する"
"approach","（〜に）接近する\r\n〈問題など〉に取り組む\r\n［名］（研究などの）方法","A typhoon is approaching Japan.\r\n台風が日本に接近している"
"admit","〈自分に不利・\r\n不快なこと〉を認める（+that〜)","admit a mistake\r\n誤りを認める"
"reflect","〜を反映する,反射する\r\n(reflect on A)\r\nAについてよく考える","reflect the mood of the times\r\n時代の気分を反映する"
"perform","〜を行う,\r\n〜を遂行する\r\n(=carry out)","perform the work\r\n仕事を遂行する"
"bore","〈人〉をうんざりさせる","a very boring movie\r\nすごく退屈な映画"
"survive","生き残る","survive in the jungle\r\nジャングルで生き残る"
"represent","〜を表す","Words represent ideas.\r\n言葉は考えを表す。"
"argue","〜と主張する\r\n(+that〜)","argue that he is wrong\r\n彼は間違っていると主張する"
"grant","〜を認める\r\n(=admit)\r\n〜を与える","take freedom for granted\r\n自由を当然と考える"
"indicate","〜を指し示す","The data indicate that he is right.\r\nデータは彼が正しいことを示している"
"belong","所属している","He belongs to the CIA.\r\n彼はCIAに属している"
"acquire","〈言語,技術など〉\r\nを習得する","acquire a language\r\n言語を習得する"
"reply","返事をする","reply to his letter\r\n彼の手紙に返事をする"
"feed","〜にエサをやる,\r\n〜を養う","feed a large family\r\n大ぜいの家族を養う"
"escape","逃げる","escape from the problem\r\n問題から逃避する"
"replace","〜に取って代わる,\r\n〜を取り替える","replace the old system\r\n古い制度に取って代わる"
"reveal","〜を明らかにする","reveal a surprising fact\r\n驚くべき事実を明らかにする"
"surround","〜を取り囲む","Japan is surrounded by the sea.\r\n日本は海に囲まれている"
"suit","〜に合う","The job suits you.\r\nその仕事は君に合っている"
"estimate","〈数量〉を推定する","the estimated population of Japan\r\n日本の推定人口"
"aim","(aim at A)\r\nAをねらう","aim at the target\r\n標的をねらう"
"earn","〈金〉をもうける,\r\nかせぐ","earn money for the family\r\n家族のためにお金をかせぐ"
"decline","衰退する，低下する\r\n〜を辞退する","My memory began to decline.\r\n記憶力が低下し始めた"
"afford","〜をする［持つ］\r\n余裕がある","can""t afford to buy a Ford\r\nフォードの車を買う余裕がない"
"confuse","〈人〉を当惑させる","be confused by her anger\r\n彼女の怒りに当惑する"
"graduate","(graduate from A)\r\nAを卒業する","graduate from high school\r\n高校を卒業する"
"vary","変わる,\r\nさまざまである","vary from country to country\r\n国によって変わる"
"remove","〜を移す，取り去る","remove the cover\r\nカバーを取り除く"
"insist","〜と（強く）主張する,\r\n言い張る","insist on going there alone\r\n一人でそこに行くと言い張る"
"examine","〜を調査する","examine every record\r\nあらゆる記録を調べる"
"remind","(remind A of B)\r\nAにBのことを\r\n思い出させる","remind him of the promise\r\n彼に約束を思い出させる"
"contribute","(to+A)Aに貢献する;\r\nAの一因となる\r\n(+A to B)AをBに寄付する","contribute to world peace\r\n世界平和に貢献する"
"warn","〈人〉に警告する","warn him of the danger\r\n彼に危険を警告する"
"connect","〜をつなぐ","connect Honshu with Shikoku\r\n本州と四国をつなぐ"
"match","〜に匹敵する\r\n〜に調和する\r\n(=go with)","match him in power\r\n力で彼に匹敵する"
"focus","焦点を合わせる","focus on the topic\r\nその話題に焦点を合わせる"
"reject","〈提案など〉を断る","reject the proposal\r\n提案を拒否する"
"convince","〈人〉を納得させる,\r\n確信させる","convince him of our success\r\n彼に成功を確信させる"
