"divide","(divide A into B)\r\nAをBに分類する","divide the cake into six pieces\r\nケーキを6個に分割する"
"distinguish","(distinguish A from B)\r\nAとBを区別する\r\n(=distinguish between\r\nA and B)","distinguish a lie from the truth\r\nうそと真実を見分ける"
"differ","(differ from A)\r\nAと異なる","My opinion differs from hers.\r\n私の考えは彼女と異なる"
"educate","〜を教育する","how to educate children\r\n子供を教育する方法"
"borrow","(borrow A from B)\r\nBからAを借りる","borrow a book from a friend\r\n友だちから本を借りる"
"invent","〜を発明する\r\n〜を作り出す\r\n(=make up)","invent a time machine\r\nタイムマシーンを発明する"
"promote","〜を促進する","promote economic growth\r\n経済成長を促進する"
"advise","(advise A to V)\r\nAに〜するように忠告する\r\n〜に助言する","advise him to stop drinking\r\n酒をやめるよう彼に忠告する"
"arise","(A arise from B)\r\nBからAが生じる","Problems arise from carelessness.\r\n不注意から問題が生じる"
"permit","(permit A to V)\r\nAに〜することを許す\r\n(=allow A to V)","permit him to go out\r\n彼に外出することを許す"
"recommend","(recommend A to B)\r\nAをBに勧める","recommend this book to you\r\nあなたにこの本を推薦する"
"define","(define A as B)\r\nAをBと定義する","define a day as twenty-four hours\r\n1日を24時間と定義する"
"inform","(inform A of\r\n［about］B)\r\nAにBを知らせる","inform him of his son""s success\r\n息子の成功を彼に知らせる"
"oppose","〜に反対する","oppose their marriage\r\n彼らの結婚に反対する"
"trust","〜を信用する","trust an old friend\r\n古い友達を信用する"
"select","〜を選ぶ","select the best answer\r\n最良の答を選ぶ"
"praise","(praise A for B)\r\nBのことでAをほめる\r\n［名］ほめること，賞賛","praise him for his work\r\n仕事のことで彼をほめる"
"handle","〜に対処する\r\n〜にさわる\r\n［名］取っ手","how to handle problems\r\nどう問題に対処すべきか"
"propose","〜を提案する","propose a new way\r\n新しいやり方を提案する"
"breathe","〜を呼吸する","breathe fresh air\r\n新鮮な空気を呼吸する"
"criticize","(criticize A for B)\r\nBのことでAを非難する\r\n〜を批判する","criticize him for being late\r\n遅刻したことで彼を非難する"
"overcome","〜に打ち勝つ\r\n〜を克服する","overcome the fear of death\r\n死の恐怖に打ち勝つ"
"possess","〜を持っている\r\n(=have，own)","possess great power\r\n大きな力を持っている"
"predict","〜を予言する\r\n〜を予測する","predict the future\r\n未来を予言する"
"publish","〜を出版する\r\n〜を発表する","publish a book\r\n本を出版する"
"purchase","〜を買う\r\n(=buy)","purchase a new car\r\n新しい車を買う"
"recall","〜を思い出す\r\n(=remember)","recall the good old days\r\n古き良き時代を思い出す"
"explore","〜を探検する\r\n〜を探求する","explore the Amazon River\r\nアマゾン川をを探検する"
"stare","(stare at A)\r\nAをじっと見る","stop and stare at her\r\n立ち止まって彼女をじっと見る"
"absorb","〜を吸収する","absorb a lot of water\r\n大量の水を吸収する"
"resemble","〜に似ている","He resembles his father.\r\n彼は父親に似ている。"
"tear","〜を引き裂く","tear the letter to pieces\r\nずたずたに手紙を引き裂く"
"consume","〜を消費する","consume a lot of energy\r\n多量のエネルギーを消費する"
"compete","(compete with A for B)\r\nBを求めてAと競争する\r\n匹敵する","compete with him for a gold medal\r\n金メダルをめざして彼と競争する"
"quit","〜をやめる\r\n(=give up，stop)","quit school\r\n学校をやめる(=stop)"
"announce","〜を発表する\r\n〜を知らせる","announce a new plan\r\n新しい計画を発表する"
"react","(react to A)\r\nAに反応する\r\n反発する","react quickly to light\r\n光に素早く反応する"
"wander","歩き回る\r\nぶらつく","wander around the streets\r\n街を歩き回る"
"emphasize","〜を強調する","emphasize the difference\r\n違いを強調する"
"generate","〜を生み出す","convey a message on the Internet\r\nインターネットでメッセージを伝える"
"result","結果","the result of the test\r\nテストの結果"
"experience","経験,体験","the near-death experience\r\n臨死体験"
"society","社会","the problems of modern society\r\n現代社会の問題"
"trouble","悩み,苦労","have trouble finding a job\r\n仕事を見つけるのに苦労する"
"value","価値","put a high value on education\r\n教育に高い価値をおく"
"effect","効果，影響(=influence)\r\n結果(=result)","the greenhouse effect of CO2\r\nCO2の温室効果"
"individual","個人","individuals in society\r\n社会の中の個人"
"influence","影響（力）","have a bad influence on children.\r\n子供に悪い影響を与える"
"context","文脈\r\n(文化・社会的な)状況","the meaning in this context\r\nこの文脈における意味"
"rate","割合，速度\r\n［動］〜を評価する","at the rate of 40% a year\r\n年40%の割合で"
