"幾 A","こひねがはくはAせよ・Aせん",,,,,,,
"如 A
Aのごとし","Aのようだ
Aと同じだ
",,,,,,,
"譬 如 A","たとえばAのごとし",,,,,,,
"猶 如 A
なほAがごとし","ちょうどAのようなものだ
あたかもAのようなものだ",,,,,,,
"似 A","Aと似ている
Aと同じだ",,,,,,,
"A 乎
(夫・哉・与・也)","Aかな
Aだなあ・Aことよ",,,,,,,
"何 A 也
なんぞAや","なんとAなことよ",,,,,,,
"於 是
ここにおいて","そこで",,,,,,,
"是 以
","ここをもって
だから・それゆえ
",,,,,,,
"然 則
","しからばすなわち
そうだとすると",,,,,,,
"何 則","なんとなればすなわち
なぜならば",,,,,,,
"然 後
","しかるのちに
そうしてのちに、…してはじめて",,,,,,,
"不 者
","しからずんば
そうでなければ",,,,,,,
"否 則","しからずんばすなわち
そうでなければ
",,,,,,,
"雖 然","しかりといへども
そうだとしても",,,,,,,
