"不 A
A(せ)ず",Aしない・Aでない
"不 A 不 B
Aせざれば(ずんば)Bせず",AしなければBしない
"無 A 不 B
Aなければ(なくんば)Bせず",AがなければBしない
"非 A 不 B
Aにあらざれば(あらずんば)Bせず",AでなければBしない
"使(教) A B
AをしてBせしめば","もしAがBであるならば
もしAにBさせたならば"
"唯(但･惟･徒･直) A 已
ただAのみ",ただAだけだ
"唯(但･惟･只･徒･直･祇) A 
ただAのみ",ただAだけだ
"A 耳(而已･而已矣･也已・已･爾･也已矣)
Aのみ",Aするだけだ
"独 A
ひとりAのみ",ただAするだけだ
"自 非 A
Aニあらザルよリハ",Aでない限りは
"不 唯 A B
ただにAのみならず、B",ただAなだけでなく、B
"非 独(唯) A
ひたり(ただに)Aのみならず",ただAだけではない
"何 独 A B
なんぞひとりAのみならんや、B","なんぞひとりAのみならんや、B
どうしてただAなだけであろうか、いやそれだけでなくさらにBだ"
"豈 唯 A B
あにただにAのみならんや、B",どうしてただAなだけであろうか、いやそれだけでなくさらにBだ
"A C 於(乎) B
AはBよりもC(なり)",AはBよりもCである
"A 不 如(若) B
AはBにしかず","AはBに及ばない
AよりBがよい"
"A 莫 C 於 B
AはBよりC(なる)はなし",Aに関してはBよりCなものはない
"莫 Ａ 焉
これよりＡなるはなし","ＡはＢには及ばない
Ａ(する)よりはＢ(する)ほうがいい"
"A 無 如(若) B
AはBにしくはなし",Aに関してはBにまさるものはない
"A 如(若) B
AはBのごとし",AはBのようだ
"A 似 B
AはBににたり",AはBのようだ
"寧 A、 無 B
むしろAすともBなかれ",いっそAしても、Bはするな
"寧 A、 寧 B
むしろAせんか、むしろBせんか",いっそAのほうがよいか、それともBのほうがよいか
"与 其 Ａ寧 
そのＢせんよりは、むしろＡ(せよ)",ＡするよりはＢするほうがいい
"与 其 Ａ、不 如 Ｂ
そのＢせんよりは、Ｂせんにしかず",ＡするよりはＢするほうがいい
"与 其 Ａ、豈 若 Ａ 也
そのＢせんよりは、あにＢせんにしかんや",ＡするよりはＢするほうがよいのではないか
"A 孰 与 B
AはBにいづれぞ",AよりBのほうがよいのではないか
"与 其 A、孰-与(若) Ｂ 
そのＢせんよりは、Ｂにいづれぞ",ＡするよりはＢするほうがいいのではないか
"A B 而 況 C
AはB。しかるをいはんやCをや",AはBだ。ましてやCならなおさらBだ
"A 且 B、況 C 也
AすらかつB、いはんやCをや",AでさえBなのだから、ましてCであればなおさらBだ
"A 且 B。安(悪) C 乎(也)
AすらかつB。いづくんぞCせんや",AでさえもBだ。ましてどうしてCしようか、いやしない
"未 A
いまだAせず",まだAしない
"将(且) A
まさにAせんとす
","いまにもAしようとする
いまにもAしそうだ"
"当 A
応 A
まさにAすべし","当然Aすべきだ
Aしなければならない
きっとAするだろう"
"宜 A
よろしくAすべし",Aするのがよろしい
"須 A
すべからくAすべし","Aする必要がある
Aしなければならない"
"猶(由) A
なほAの(Aするが)ごとし","あたかもAのようだ
ちょうどAと同じだ"
"盍 A
なんぞA(せ)ざる","どうしてAしないのか
Aしたらどうか"
