見る,思う、関係を結ぶ、面倒を見る
けし,異様だ
わびし,苦しい
こころぐるし,気の毒だ
まだし,まだ早い
さかし,優れている
まばゆし,まぶしい
かたじけなし,おそれ多い
かしこし,おそれ多い
しげし,多い
すごし,気味が悪い
いたし,すばらしい
おぼろけなり,並ひととおりだ
なのめなり,並ひととおりだ
清らなり,清らかで美しい
まほなり,完全である
あらはなり,まる見えである
あながちなり,強引だ
せちなり,切実である
とみなり,急だ
うちつけなり,にわかだ
さらなり,言うまでもない
ねんごろなり,心を込めている
おいらかなり,おっとりしている
あやにくなり,意地が悪い
おぼえ,評判
ひま,すき間
いとま,ひま
才,才能
よろこび,お礼
こころばへ,気だて
こころっくし,物思いをすること
そこ,あなた
ここ,このわたし
かれ,あの人
それ,その人
これ,このわたし
あなた,向こう
そなた,あなた
こなた,このわたし
そのかみ,その当時
せうと,兄
おとうと,妹
きも,いとしいあなた
つま,夫
はらから,兄弟
かたへ,半分、傍ら、仲間
ほど,ころ、広さ、身分、様子
かぎり,限界、極致、臨終、すべて
きは,身分
ついで,序列、機会
沙汰,評議、裁き、命令、噂
とが,欠点、罪
け,ため
よし,風情、由緒、手立て、こと
やう,様子、理由、方法、〜ことには
ちぎり,約束、宿縁
ほだし,障害となるもの
あやめ,道理
うつつ,現実、正気
あるじ,もてなし
ふるさと,なじみの土地、わが家
さて,そのまま、そのほか
さながら,そのまま、すべて
いま,すぐに、もう
せめて,強いて、ひどく
むべ・うべ,なるほど
かつ,一方では、すぐに
ひねもす,一日中
かまへて,決して、なんとかして
あへて,まったく
かけて（も）,まったく、決して
さだめて,きっと
のたまふ、のたまはす,おっしゃる
仰す,おっしゃる
聞こゆ、聞こえさす,申し上げる、（お）〜申し上げる
申す,申し上げる、（お）〜申し上げる
奏す,申し上げる
啓す,申し上げる
承る,お受けする、お聞きする
給ふ,お与えになる、下さる、〜なさる、お〜になる、〜（ており）ます
たまはす,お与えになる
たまはる,いただく
召す,お呼びになる、お取り寄せになる、お召しになる、お乗りになる
思す、思し召す,お思いになる
おほとのごもる,おやすみになる
さぶらふ、さうらふ,お仕え申し上げる、あります、〜（でござい）ます
はべり,お仕え申し上げる、あります、〜（でござい）ます
奉る,差し上げる、（お）〜申し上げる、お召しになる、召し上がる、お乗りになる
参らす,差し上げる、（お）〜申し上げる
まゐる、まうづ,参上する、差し上げる、召し上がる
まかる、まかづ,退出する
あそばす,なさる
つか（う）まつる,お仕え申し上げる、し申し上げる
聞こし召す,お聞きになる、召し上がる
しろしめす,知っていらっしゃる、お治めになる
おはす、おはします,いらっしゃる、〜（て）いらっしゃる
います、ます、増します、いますかり,いらっしゃる、〜（て）いらっしゃる
御覧ず,御覧になる
